[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Flat Sample Stage, Owner=pc, Creation date=11/22/2023 7:32:59 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Stage for flat samples/holders"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Fiber.xrdmp, Created identifier={E8C07BD7-8A8C-42E2-8622-4BC130302805}, Created by=pc, Id=WL:DESKTOP-BC0RBBD:pc, Creation date=1/6/2025 4:49:46 PM, Modified identifier={32F7A4C4-C999-46E4-852F-B36327219E96}, Modified by=pc, Id=WL:DESKTOP-BC0RBBD:pc, Modification date=1/12/2026 4:17:19 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,17/Feb/2026 15:35
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.992499997,90.000048563
Scan step size,0.0262606
No. of points, 3199
Scan type,CONTINUOUS
Time per step,7.140
[Scan points]
Angle, TimePerStep, Intensity, ESD
6.005630280, 7.140, 343.0, 18.5203
6.031890845, 7.140, 282.0, 16.7929
6.058151411, 7.140, 310.0, 17.6068
6.084411976, 7.140, 299.0, 17.2916
6.110672541, 7.140, 331.0, 18.1934
6.136933107, 7.140, 344.0, 18.5472
6.163193672, 7.140, 301.0, 17.3494
6.189454237, 7.140, 321.0, 17.9165
6.215714803, 7.140, 288.0, 16.9706
6.241975368, 7.140, 318.0, 17.8326
6.268235934, 7.140, 287.0, 16.9411
6.294496499, 7.140, 278.0, 16.6733
6.320757064, 7.140, 312.0, 17.6635
6.347017630, 7.140, 301.0, 17.3494
6.373278195, 7.140, 310.0, 17.6068
6.399538760, 7.140, 303.0, 17.4069
6.425799326, 7.140, 297.0, 17.2337
6.452059891, 7.140, 302.0, 17.3781
6.478320456, 7.140, 285.0, 16.8819
6.504581022, 7.140, 282.0, 16.7929
6.530841587, 7.140, 251.0, 15.8430
6.557102152, 7.140, 254.0, 15.9374
6.583362718, 7.140, 285.0, 16.8819
6.609623283, 7.140, 324.0, 18.0000
6.635883848, 7.140, 286.0, 16.9115
6.662144414, 7.140, 274.0, 16.5529
6.688404979, 7.140, 268.0, 16.3707
6.714665545, 7.140, 243.0, 15.5885
6.740926110, 7.140, 286.0, 16.9115
6.767186675, 7.140, 310.0, 17.6068
6.793447241, 7.140, 268.0, 16.3707
6.819707806, 7.140, 298.0, 17.2627
6.845968371, 7.140, 274.0, 16.5529
6.872228937, 7.140, 284.0, 16.8523
6.898489502, 7.140, 275.0, 16.5831
6.924750067, 7.140, 288.0, 16.9706
6.951010633, 7.140, 255.0, 15.9687
6.977271198, 7.140, 286.0, 16.9115
7.003531763, 7.140, 284.0, 16.8523
7.029792329, 7.140, 276.0, 16.6132
7.056052894, 7.140, 255.0, 15.9687
7.082313459, 7.140, 269.0, 16.4012
7.108574025, 7.140, 272.0, 16.4924
7.134834590, 7.140, 257.0, 16.0312
7.161095156, 7.140, 261.0, 16.1555
7.187355721, 7.140, 287.0, 16.9411
7.213616286, 7.140, 268.0, 16.3707
7.239876852, 7.140, 247.0, 15.7162
7.266137417, 7.140, 312.0, 17.6635
7.292397982, 7.140, 280.0, 16.7332
7.318658548, 7.140, 252.0, 15.8745
7.344919113, 7.140, 262.0, 16.1864
7.371179678, 7.140, 255.0, 15.9687
7.397440244, 7.140, 248.0, 15.7480
7.423700809, 7.140, 248.0, 15.7480
7.449961374, 7.140, 262.0, 16.1864
7.476221940, 7.140, 262.0, 16.1864
7.502482505, 7.140, 264.0, 16.2481
7.528743070, 7.140, 265.0, 16.2788
7.555003636, 7.140, 266.0, 16.3095
7.581264201, 7.140, 247.0, 15.7162
7.607524767, 7.140, 251.0, 15.8430
7.633785332, 7.140, 257.0, 16.0312
7.660045897, 7.140, 258.0, 16.0624
7.686306463, 7.140, 243.0, 15.5885
7.712567028, 7.140, 247.0, 15.7162
7.738827593, 7.140, 243.0, 15.5885
7.765088159, 7.140, 250.0, 15.8114
7.791348724, 7.140, 253.0, 15.9060
7.817609289, 7.140, 242.0, 15.5563
7.843869855, 7.140, 246.0, 15.6844
7.870130420, 7.140, 223.0, 14.9332
7.896390985, 7.140, 223.0, 14.9332
7.922651551, 7.140, 260.0, 16.1245
7.948912116, 7.140, 253.0, 15.9060
7.975172682, 7.140, 247.0, 15.7162
8.001433247, 7.140, 260.0, 16.1245
8.027693812, 7.140, 232.0, 15.2315
8.053954378, 7.140, 235.0, 15.3297
8.080214943, 7.140, 246.0, 15.6844
8.106475508, 7.140, 249.0, 15.7797
8.132736074, 7.140, 247.0, 15.7162
8.158996639, 7.140, 238.0, 15.4272
8.185257204, 7.140, 244.0, 15.6205
8.211517770, 7.140, 250.0, 15.8114
8.237778335, 7.140, 275.0, 16.5831
8.264038900, 7.140, 225.0, 15.0000
8.290299466, 7.140, 227.0, 15.0665
8.316560031, 7.140, 265.0, 16.2788
8.342820596, 7.140, 225.0, 15.0000
8.369081162, 7.140, 240.0, 15.4919
8.395341727, 7.140, 228.0, 15.0997
8.421602293, 7.140, 238.0, 15.4272
8.447862858, 7.140, 205.0, 14.3178
8.474123423, 7.140, 257.0, 16.0312
8.500383989, 7.140, 238.0, 15.4272
8.526644554, 7.140, 203.0, 14.2478
8.552905119, 7.140, 233.0, 15.2643
8.579165685, 7.140, 218.0, 14.7648
8.605426250, 7.140, 238.0, 15.4272
